element,kanjilist
一,講羶領謔欹齟蹲酬攘抵酥倹検廬鰈切蟯聹胆衿檸輸愈晝畫虚虎貮撓菫亙韈摑亘撲贇饑吏虍嶐愉蚩暄輌蚕單柤絖寂糧醪雩酘旦羚砠抔滉妲蹙湯奇酲垣蔭簽綺孃聆峠衾筒橿峯鋳畳疸蛎虔単彊壤祖写貯蓁徑揚兪靼福擅祗饒虜晄處晋鋲輝尭獻鐃宜恍褝酳醸醫酪零醤磯抃砺竒騫倚醯酷酣龕富槿恒宅鍼獰檢嶺詫濘箴蛆鈕爐閤洌撼逎禅嘸亭洸彗虐號嵜縫梹檮橈柢実經椒觴寄組妛酢僵頷蹼醉謇竚謌謹打羇煬羞坦孅俶柯喧輕蚌答黔濾吟晃箚臚彁饕禳沮徂烽督兵光得逕堯践洞場貪狙畴曁同虞暁列鍮椅廡酉醢担羝酵瘍奏罅砥齏姐翕武減碕苓苧襪幌楢幅素瑾鑢侘崙樸岻岨鹹纎匐春蘯丑弾塞莇忸烈墟遽邸荅婀購下壌泰丐掎纖哈痙牴鹸崘屍栃剱惡鴿嬢紵融殘釘戯薨歪殤斌歳殫隈歙驍険碍蕕拜蕩籌楡極使剳胝憚轤訂笥鬻篝纛懃痾呵民壇莟函邦掵灯遘丞上万叱腸託巫憂膓猗柄覦百拯埼歿夙殪驗嶺斂軻死渝羚薇陦陽幗紲寒唸粗胚膚澪賽与七揄儔萱擣遵據搴世秦塔不蛤憾櫨峇岳繞耡剣蝓庁杖底緤寧鱸苛戲戦斃譲殯正戰楪鱒鑪惑鬲銭咤岑咸麗租媾莖且搭韲蓬遶丁丕餮昼号命膕副覯籖僉窃陰拝險興國殉薑玲渟翹踰戛殄残但劒鴟榛蝉杤咀棯甦狃塲浜丘遞捻搆韭韮遒邱丙墫慮闡諭論胱例剄蝠寨劇佇僅鄲雎舸殱穰零譜顱聆無戚殊讖焼焉殞偸幾襌覲平籤璽蝶怜猷嗣励諠銅樽弌令噂擲涛弐並嚀憮匳慯澂痞司訶諜笹剞猶怛惷璞襄鴒或舞癒殆戍圷鈴顫歌歹隔殲渮驢譏颪渣穣夏停殍讓苴域殖粭緘劔俎嬋覗蝪棒辷画叔曩牒可呑澆炳儉荷矜灑捧賦氈更蘆甼篷崎耀助侖鑄瑜勁何舂殃蕘傷燒拿姶歔令天驪歛領穢渫盂鄭殕陋戌低寿紐劃粡錻猥轗鯰慧町叮昜臉三両萓儷念浅仗弖丈鯱蠢膈杯嗤胴構楊劍殀拾薤盃蕪驤醇蹇羮騎酋酸瘧蔔倫觝蜂琥疆暘梺濮箪疽蛉袒合冓河祠壽亟葉冽賎卞畸懺畐鋤蚯誼衄閂疊疇勤鰔宣褫槭躑満酌毒醒頸湃醋醐騨盪躊酊盧喻詛鋒病今泄亳祷菽逾亞撫馘互靨威册堊彪愃爼懴輳機梼輪珂喩俸坏艫酒盒僥阻齧稔醜酖僕瘉釁阿坐配醵伺鵡玲勗尊峰疔嶢哥鈴否暢亶淪貰駈囓嘘逢鞳蒸冨瀲于鞆臻吾桓嶮縅濤鰆伶喋椪承酎醴釀托溝量飼齢頂奠醂磽湊醍砌垰雫酩蔑綸鰄恰悪琴恫詆棆裃輻袷曉畏檀虧感鞐微再彈兩亜瀘葬逼瞼兀五囹烝冷汀禪洽饉淑普含閾爾脛桐裂詞疂閇桟嗇査給喊椿鰌酔醺罘奉験齡醗冷滅
丁,欹聹檸奇綺貯竒倚獰濘亭嵜寄竚謌打羇柯彁椅碕苧婀掎紵釘訂痾呵灯猗埼軻庁寧苛渟佇舸嚀訶剞歌渮停可荷甼崎何町叮騎河畸酊珂阿疔哥頂汀
丂,朽雩巧考
七,謔廬切虚虎虍虔虜處獻宅詫爐虐號濾臚饕虞罅鑢侘墟遽戯轤叱託膚據櫨鱸戲鑪咤窃遞慮劇顱驢蘆歔鯱叱瘧琥梍褫盧亳彪艫醵嘘托砌虧瀘
万,蛎砺栃杤励
丈,吏使杖仗
三,講攘菫撲孃峯鋳壤蓁醸騫槿彗縫実蹼謇謹蚌禳烽践畴奏素瑾樸春塞購壌泰嬢篝纛懃邦遘陦寒賽搴秦譲銭媾蓬覯拝残榛搆寨僅穰覲涛惷璞襄穣讓棒曩捧篷舂寿慧浅蠢構驤蹇羮蜂濮冓賎勤毒鋒祷輳梼俸齧僕峰囓逢臻鰆承釀溝湊饉桟椿奉
上,寂蹙峠椒俶督戚叔槭菽垰裃鞐淑
下,峠抃丐圷颪梺卞垰雫裃鞐閇
不,抔歪胚丕痞杯盃坏否罘
与,写
丑,鈕羞忸狃紐衄
且,齟柤砠畳祖宜蛆組沮徂狙姐岨莇粗耡租咀雎渣苴俎助萓疽鋤誼疊詛爼阻勗疂査
丕,歪胚
世,鰈紲緤楪蝶諜笹牒渫葉泄貰喋
丗,帯滞棄
丘,鋲梹兵岳浜邱蚯駈
丙,柄炳陋病鞆
丞,拯蒸烝
両,輌満
並,譜椪普
丨,旧押褸肆伸蟯蜷蟠縷晝畫饋淵曄蚩演蚕單廸簫肇抻抔稲騷拂絛肅帥蜴本蜻蜈筆峯蛎印単油娉律嘩葎贐沸蚶疥蛍嵐梯胄蜉肄簾師褝瘋收簣悌寅柚鍵蟒蜥閘虹卉蛆畢神禅堺彗蛇蚓縫衷蚊蜘蜿鵜坤釉抽倏藪喪蟹蚌烽華瀟兼壗蛋向蚰蛄蚋蟐鰰髑飄螺蝨蛮嫂弾婁仲墟捜嚢史呷蛭州諷蝕融螂燼歪颱殫譴數舳焔健拜蝗螻蟀蝎憚樓第蛛蛯蛔賺掻凾蓚赳呻書蠑蠅繍蠹鼬夥飆髏穂颶籔胚蠕潰蛬蛹丗出世嫌不蛸蛟蛤蠏蝓蟋怫蟄果紳螟戦歉飃渊窶戰陥舉紬蝌蟆胛粛螽蠖篠蠍痩价遣遺蓬忠丕強蛞慊甚届蠎蟇蝟蝸蝋螳拝央風蝉螢崋曳匱狎甲凸矧丱關申曲闡蠧濁蝴蝠鄲蕭軸歸譁燭襌蝶篳繭蠱棗蛩由个涕儘弟串痞腱叫叟蛻濂蝮蝣螯鏤幽颪僂佛廉嬋蝪螫剃樺棒蠻画匣中弔搜捧引蛙篷笛屬繦蠡蝦榊襁歔颯劃蝿剛岫蠣慧狆蛾弗矚蠢岬蠶杯嗤鑓蝙楓鴨盃髴芥鎌触糾蜂蜍恵聘聿箪蛉臾界介冊睇児冲彿蚯筱迪蜚患蜃蟻躅候攸湃騨雖蜜蜩蟶獨専鋒卅也嘯費冑貴内蚣虻蟷悠蜀觸俤俸坏艘騁蹕簍蟾櫃峰虫狒否暢蚪収逢瞶蒹津虱畍宙蜑蟲建瘻溲騒盡修蜊迚表蚤脩條蚫独彈沖囑禪卍袖櫁蜒蜆聯罘奉滌謙
丩,叫糾
中,褸蟯蜷蟠縷饋蚩蚕騷蜴蜻蜈蛎蚶蛍嵐蜉瘋簣蟒蜥虹蛆蛇蚓蚊蜘蜿藪蟹蚌蛋蚰蛄蚋蟐髑飄螺蝨蛮婁仲蛭諷蝕融螂颱譴數蝗螻蟀蝎樓蛛蛯蛔掻蠑蠅蠹飆髏颶籔蠕潰蛬蛹蛸蛟蛤蠏蝓蟋蟄螟飃窶蝌蟆螽蠖蠍遣遺忠強蛞蠎蟇蝟蝸蝋螳風蝉螢匱蠧濁蝴蝠燭蝶繭蠱蛩串蛻蝮蝣螯鏤颪僂蝪螫蠻蛙屬繦蠡蝦襁颯蝿蠣狆蛾矚蠢蠶嗤鑓蝙楓触蜂蜍蛉冲蚯蜚患蜃蟻躅雖蜜蜩蟶獨貴蚣虻蟷蜀觸簍蟾櫃虫蚪瞶虱蜑蟲瘻騒蜊迚蚤蚫独沖囑櫁蜒蜆
丰,縫邦蜂峰
丱,墟關歔聯
串,褸縷藪婁數螻樓髏籔窶鏤僂患簍瘻
丶,垈酬蔵伐寃玉鵝綛誡尠筑畿壓貮菟逑亙韈瀛摑靭逋贇贓汰饑臓臧哺魁濺誠瓲獣鵞簿騷稽蹙義抖絨柝瓰述魃嶽単淺駄冤贄必閠箋臟晟詠獻瓱磯芝髮蹴芍妁恆鍼瓩箴愽卵厭祓贏撼国靫往茯貸娥閥勺球拆溥倏孅瓶朮宝就鯆筏黛脯叉忍蒲冢践撚疣脉試尤輔刃瓷恐槲伏藝羲斟太武減戉執拭戡偽襪粱業怺裘鹹織纎甓哉曦秡駐賻丹捕丸纖州幟戠殘埶戴戯藏戈踐軾斌歳圃璧甄纔囈灼掴泳永甌犠甅甑膊憖杓救拔戮飆苡戳截幗匍甕浦莵儀犹犬憾昶繊唹蟄旃戲戦識斗議薄斜戰於蝌惑巣岱銭甍犧咸注萪科膩甃甎膕籖釵國斛料然斥戛戔残籾劒註訴咏澀仞越莪餞餓塾状杙俄鷲殱傅的戎戚讖幾籤璽猷献栴蛩弌駲弑跋為以弐泝弋甫鉞鷙或埔戍殲譏戒舗域戝緘住樣曵式餔搏賦麈棧鯲錢瑩戞戊舖釣讒穢我敷戌約榑錻笂轗栽蛾丼礒賤凡荵氷弍泛浅代主叢牋補斡戟成鳶孵瓦獎默闃吠貶跫葯葡賎鞏半懺哭嶬黙筬尨鐵鐡瓧柱蟻帆鰔槭燃酌盞扠袱峩之馘靨葢威鋪閼梁懴認袋梵術峨機尃縛瓸肬椢艤城毬熟鵡嗅黶築蚪求兎汎乏裁筺械縅漾職獄勢獸玳簗熱羸蔑熾綫孰鰄褻瓮魘巉黼蚤博哦感賊淤貳摯茂兔洲豹閾黻載桟似喊盛找滅
丸,贄藝執埶囈蟄塾鷙笂熟勢熱孰褻摯
丹,旃栴
主,往駐注註住麈柱
丿,稾溯投竸罕奐芟竟艇妊政蔵酥俾伐寃悗鵝褐勿鍾蟯勘蟠魔誡漕梭衫筅巌縣尠詢筑魏脱鈞閭畿虎添洗祕撓鞠睦菟冦瀏徇逅韈瞥瀛摑睾換葛瀕逸挺撒徽駆贓淵役彌贊饑吏臓留臧厥君愡蚩晞黐追篇魁濺尉誠瓲恁務未孕鵞絖孜簫鰡廐肇苅醪借龝酘垉抔體謁稲滉髯稽髭飫稘稿蹙湯髢義欝熈攪放拂藜扁酲艸藕絏絛絨肅悛帙褊鰺肌悔伊帥蜴勾続獵刄勳刋朱魃袤鯏魎鯀読輓橘鋳疫印卿番私堪汲淺贅亦睥鞣逆沙蓁揚鞭逓冤壬离洩乘彝饒必沸秀跳祚暾脾晄疥后脳危處箋臟晟疹嵐魍尢梠輝衽魂梯尭勲獻聊鐃刹悩柞恂柧鍬末恍糟師簪旬瘋醫垢芽扨盾燉阜稱磯抗髣頽髮稙蹴抓竭芍磐髪飜稼妁藐釈收煦旡熬悌鳬鰲帯啾鐓利肴鐇蟒宅鍼瓩完迩桾漓詫箴卉鮑卵祓徼秋駁禿蒟蒄贏亮禰蒐囲沈逃瀝冠撼烱靱挿鞦插摎睡兢郵靤図嘸堺祝徴馨亢洸没娥閥晩號晁午愧鈔卯懸筍詬濱巍橈勺喬廖觴廢鵜綾无藹羌酢攷釉蔽旛飛竣稈稻蹉磬騙砲稠湫髦奕抄飢躯髟髫攵蔘倏煬妖羞既藪煥廛孅密廠聨机柔就濳筏魑魅脈晃算吸愬誘鈍深禾饕彩彜先透兵瀟争光瀋鞫堯践淘跼撃場禽畴哽曁鈎向鮓疣暼魄漑鯊尤檠説袮暁恋恟刃恐朶刎寇槽廡學鰤鶩椹鳧抱芻攻藝艚瘍種羲蹶罅奔謐頻須稷网湾髑斟夾驕穐減竊鼾飄敞苞圀戉燻戡鄒偽糅襪幌瑳剰侘耽崙鬣鹹織蛮痿纎匐哉腆曦蘯鉤莓秕塊駟秡餾莞丹弧菊嚮墟噴萢搾凱凰看莽丸餽膰匹史纖纂包膿諺繁裙鬢崘諷惜胤剱胸束嬶融幟戠殘陵蕎埶戴般戯藏蕃敝戈踐歪颱殤歳夫驂驍數焔苟窄蕩航偬使瑰惣惚蝎耙篦第黌局鬻樊鯣纛慨纏麑纔曹甸呼墳海浣赦囈炮邦蓖嚠邪灼捗擒搬菌眇蓚韵塑弥忝駒掏秣銹腸犠懍匆鬼託展鯢繖膓樒麿嗷杓耘唏瑙胞劬緜粳鷸救院癪蕨故陶拠癧拔戮驚穆失飆髀夙竅碾穂斂骰颶変積薇陲偈陦敕発窕戳盈截陽籀幗劉廏籔鑰猊怱鑿勉胚潘繆笈鬱黏匍匂牧餉任秧丗弉莵霆儀霓遡凶境礬秒秦弯不墺呱麕痺犹慟憾懊繊訝岳繞鬘耡瑠蟋怫杖粂糂侮枕佻楙敏戲戦識渇顔穎姚顏穗軼竏飃鼈鼻渊斃議穃磋翫警滲殯夭穩薐戰敖癈枚廃寥蝌惑差鯑裼鬲黎峅篠棘蠍銭臀咤呪昴犧咸咫岌膨匁租价気秤萪携炸儂凩荀遭捌掲省荏擯遶駛科丕餮秬莎莚匀甃甚懋匏慇牙巖蠎黍膕繋属轣裨樛覈鑽唆劣粁庖籍鷭嬪鴉寫緞籖國發敗殉碑釼穏風委穀夷翹殿歇渉碯譖翻姙釐斥戛殄拷戔敦残粤審幤佝榴珮榛笊激鯵曳甦忱移塲賜丘遞越萎搓涎蓼探烏莪餞秩駿弊丱谺餓鉄關物呂鉋闕腦曲辟濁裟鬚論櫪屮犂来惨東胱剋胙耒怎錘錫俄純鷲便鷽劇燔蕭燠藉殱隗翩穰毅穫譎穿鼇顱的碣穽軫殳教敬偐無薮戎戚燭讖皰焼幾槎籤槃璽杪來嗣枸励農笋診潛濃鬩銑蛩呀腫易昇澎句仟忽邇弑跋涕凪涜凧儿処揉萩嚴涛捶為塰跌弄浚婢弟憮慯鉞澂痞蛻笑麹犁屯設瑟枹鏐螯概紗籥緻編鴆級俊籬或傲数埠舞窘讚敘戍雀毆渺願隔殲譏顰颪穣歩硬整戒働雄陞域效變戝佛楹覺緘璃劔寳耜怐蝪杭耕螫枡剃濆鬟咆巵咒区蘇叛呑鉚慘曵澆蘓賓趁霧掬莠儼灸霪遜矜凭矛遨矯遏萄眺炒泗莉弁趨更痢笏崚繽屬澳棧潟耀鏡侖錢耨嬌槊鴎侶幣楸佩作係戞雅戊釣偏蕘敵拘傷皴讒燒歔譌毎殺翳碪殷傚穢段踵皖滞殼颯我敷癜散陸陟營戌幡寿約庭佚鱧槌剏杉枢錯剔澱轗篩銃和栽麭櫚銚裔轎栲匈牌蘋蛾憤昜丼弗礒弃嚊泡仭賤婬凡霰眉霤噸凜遍矮矚措邨眈几泛称浅淆邀秘仗礇丈臈昨曷昔膠牋轍鬆繙咋諞轂鯱蠶膈耗惱鑞杯嗟考唾剩嗤蝙緲楓楊年殀薫皺隲戟舁燬敢做成盃蕪歃皃殻傀穉穡渙殴毀髻飽羣頑奥髴毓僞酸改蔔盤溜倫芥椴椈孵喚絢綉獗勹琥暘島嵳誨筰梃梗界吻愁介売彬貶洶淕跫影冊禮睇児兄茆瞰葯菱靂克典瀉兌菰鞨貎葡四充蒭嫩賎彰九彫鞏賃彿厰哢畋誕懺晦愀愨升檄峺筱筥嶬筬尨鐵営刪鐡玩蟻宮綯帆鵲鰔褫槭埀艾雛躅芫釆攸酌阮躱齲毟欧醋垂羯髷盞離瘤妙盪釋倪阡旙㓁椣悉廾鰍簓柳別喨珎蜜蟶獨梨桃衝峩迹濔梔卅愍卑臘箘畝爻吮疱狗洵賁亳彦祷徹馥撥茅兇董葮香沌貔撫嘯馘兒凌撤兆祢秉威費册娩泌彪久畊誂厳吭爼及懴梵檳橋峻峨機輾梼橄嵬輪悠珍蜀肬聲俐季簒綮觸俤𠂤玖希椶僑坏僥藩艤城湛奧熏砂稟軆程頓稀龠稔醜齣酖扱倭蔆鎚延俛啝刈股悸瓠鍛獅商築尓嶢縋檎狒參爬否暢梅貿況禹娑淪豊仍乕冕靄免况挑逶冩郡嘱着貌元瀲党兎睨冴跣彭汎跚冏形乏臻畍鋭参致梟厖裁袵嵯詐械縅棄衂珊瓜職啓蜑朔勢廷鵯統系槐承倣醴坑托熱飩欷稜群競謦羸頏稗髱蹂磽稚税重攀均僭瘢蔑熾觚鳳廩孤綸綫喝孫鰄褻修瓣蜊柩勠悧刷柵疚筵魘巉棆脩曉袗哦畛條爽蚫虧千爲感閲微賊派乍鞄乖跡淫乂兜逵逡葬葱郢井瀰允茂兀兔沃播囑乃豹冗乗彡乎袍厩懲誄閾爾爪狐黻尹載黴桟縒櫁尅少迭蜒悦鍖瓢聯動絽伉喊艶盛攜找雹溌躔醺罘奉稍滌謬醗滅
乂,政巌瞥撒贇徽駆彌吏晞黐務孜肇苅欝攪放絛獵刄虔贅鞭离暾脳刹悩扨燉收熬鰲鐓肴漓徼駁馼禰靱図徴吝蚊悋攷蔽躯攵倏藪廠魑禽哽暼檠恟學鶩攻网斐敞鬣史繁剱胸敝斑斌文數使篦黌樊赦蓖擒蓚繖嗷唏瑙粳緕救故驚竅斂薇敕籔牧凶礬杖敏斎顏鼈斃警敖枚鯑篠匁気駛巖覈敗釼碯釐敦幤激甦弊腦便鷽済鼇教敬偐薮璽邇弑嚴澂螯緻籬傲数敘硬整效變覺対璃劔紊螫区霧儼遨更鴎幣敵殺傚斈敷散紋剏枢匈憫仭霰淆邀仗丈轍惱鑞敢做斉殴改梗洶瞰嫩厰畋檄峺筱艾攸欧離閔濔愍臘爻徹兇貔撤厳爼橄悠綮希椶稀旻刈檎瀲致衂啓倣欷攀修脩條爽微瀰懲爾黴滌
乃,孕秀誘透朶銹盈携楹莠綉躱仍
久,粂灸畝玖柩疚
乇,宅託
之,芝泛貶乏
乍,祚柞酢鮓搾窄炸胙怎作昨咋筰詐
乎,罅呼
乏,泛貶
乕,逓
乖,埀
乗,剰
乘,剩
乙,孔尻馳乾乳扎抛髢乱贄吃染煢旭伜池馗葹乢札藝翆執蝨丸胤粋埶紮訖礼囈施訊屹七蟄釶迅忰塾迄屯鷙弛巴枠究地笂他軋卆乞九吼軌砕鳩也仇熟亂虱勢熱孰褻摯糺雑酔
九,尻抛贄染旭伜馗藝翆執丸粋埶囈蟄忰塾鷙枠究笂卆軌砕鳩仇熟勢熱孰褻摯雑酔
乞,乾吃訖屹迄
也,馳髢池葹施釶弛地他
亀,穐
亅,芋欹才鵝聹檸吁淨務鵞義奇綺筝袤閉橘豺貯亦鞣財芽竒倚獰濘箏静瀞亭娥嵜寄抒竚奕謌打羇孑柯柔彁予争豫恋宇椅鶩羲罅湾碕苧糅蛮曦墅婀掎材紵釘訂痾呵呼灯邪凾丞犠猗鷸拯埼軻変序儀弯訝崢錚庁寧楙苛議犧丁懋牙鴉渟蕷莪谺餓俄佇舸譎穿舒呀揉嚀訶剞歌渮停可霧荷矜矛甼迂崎何紆雅盂我杼犲町叮蛾礒浄騎河事畸爭嶬蟻預酊峩迹茅靜亊了諍峨珂艤阿疔哥蒸烹于冴承頂蹂哦跡烝亨汀乎野
了,務袤橘鞣抒孑柔予豫鶩糅墅凾丞鷸拯序楙懋蕷譎舒揉霧矜矛杼預茅蒸烹承蹂烝亨野
予,務袤橘鞣抒柔豫鶩糅墅鷸序楙懋蕷譎舒揉霧矜矛杼預茅蹂野
争,筝静浄
二,齋芋蜷鈞吁壞冦亙亘暄縢衙椏頬齊垣蔭券逓靉豢晋曇峡魂縉鐚伝罎騰藤雲伍俵鶺鶚恆恒完桧壜蒄囲冠悟会齎絆喧梧袢跨卷宇寇藝拌謄齏圏剤唖纃莞遲惡蕚極咢浣囈萼韵耘唔籐緕院薺発牾那儕萱矩霊臍樗惓胖斎翫舉廃胯炬韲擠秬匀膩匏錏寤侠拒圄苣陰鄂顎紜鉅佞圈済渠穽皐滕籘劑諠犀弐夸耕繧叛捲霽眷諤迂屬巻巨珸瑁劵紆皖転盂丼矚弍拳斉穉頑齬躋愕亟云半懷刳玩宣芫芸阮蹐絵勝梛脊晤冐亞冱互距冑娜堊愃畊狭桍判綣倦竺椦鍔瓠袴晉乕冕元挟于汚壼語吾誇濟桓瘠齶均伴鰐悪表虧畔仁壺貳壷亜沍井五囑靆些溌醗
于,芋吁宇迂紆盂
云,蔭靉曇魂伝罎雲桧壜会藝囈耘陰紜繧転芸絵靆
互,亙恆冱沍
五,衙伍悟梧唔牾寤圄珸齬晤語吾
井,囲穽耕丼畊
亘,暄垣恒喧萱諠宣愃桓
亙,恆
亜,唖悪壷
亞,椏鐚惡錏堊壼壺
亟,極
亠,稾羶齋竸妾竟倅攘椁絃育啼黥衰京嫡撞蒂亥壞瀛茲贇交享黐橦啻朧鎬宍肓孩旒罔童竓稿謗齊竪放艟盲芳妄孃悴暝袤衾虔壤贅壟亦茫冥禀擅离暾縡魍褒廓槨醸燉抗竝髣抃竦竒芒蹴竭髞竢醯龕僻熬俵鰲網鐓暗漓徼蒟壕馼贏亮部蓄擁蒿凉六亭豪亢淳懐袈吝嶂嵩嵜閙衷較衣蚊宰鵁悋瘁倍旛竣醉齎翌妨竚翊奕竜竡竕龍椋椄肺喪就魑黯鋩禳葹亡禽該恋惇絞旗蔬章端齏湾磁斐薜圀薩旄新舫旋藁斿侫柆剤裘樟蛮甓纃掖嚢韶弦壌氓壅襲紡嬢榠旌旅薛斑斌翠滴文立航締親蟀粒璧裳辧潼臆壇壊霎韻噺荒擒避億韵莅腋懍憶蘢製嗷効楴緕枋施旆薺碚碎圖竅薗変譬園佼籏幎嗾辭核笠甕慌駭遠儕響境駮弯臍蛟臂牽纐辣膂辮篭猝唹襯劈螟陪旃舷斎顏竏竍譲敖於房旁鱆膏諳膀鉉壁霹韲音擠眩蓑噫咬膵裴鬧辯覈族滾磅游渟敲方雍敦寵嬖裹激哀流餝忙遊萃擘囃霈忘賠塾辟裟鯨榜劾璋粹槁鷲襞埣穰毅済鼇障苙偐劑鏑依裝轅蘖邊塙涼掠郊蘗闢辞慈校蝣螯襄籬傲鄙隴顫穣傍停讓效癖幢対璃紊杭錺曩憧接適霽遨泣氈呟咳訪鯲鏡剖籠薪培敵焙㐬夜骸硫傚滓斈颯敷殕襃榱紋惘瓏銃辨諦裔犒諒憫産辛弃餃凜凛嚆邀液主辜憬轍勍猿位楞滝斉驤皎醇站毓躋蔀躄雜肪柿卒影亰靖充摘彰瞑狡卞袞檄懷意魴簑帝拉竰毫滂蹄離旙簇喨聾装濠迹閔衒畆畝亳之徹瞳蒡撤虻吭閼袋袰鍄稟熟垓旻孳刻鏃商疏裏鮫檎檗亶彷瀧烹沛景檍袁濟裁棄望率統倣瘴釀坑競姉羸頏謫滋溟坊廩市孰褻瓣鶉表縞痃檀淤跡郭菩亨淬梓闇畜畩諄裂梳鐘琉玄槞伉鵺簔僮蔟防高
亡,瀛肓罔盲妄茫魍芒網贏鋩侫氓荒慌忙忘惘虻望羸
亢,抗航杭吭坑頏伉
交,較鵁絞効佼駮蛟纐咬郊校效傚餃皎狡鮫
亥,孩該核駭劾咳骸垓刻
亦,奕恋湾蛮変弯迹跡
亨,烹
享,椁暾廓槨燉鐓淳惇敦塾醇熟孰鶉郭諄
京,黥蹴凉椋就鯨鷲涼掠諒憬勍影鍄景
亭,渟停
亮,喨
亶,羶擅壇顫氈檀
人,頰領齟倅倹検褐綻定蜷筌衿愴亥堤從従葛撲饑縢詮孩羚謁頬蔭褞簽鰮悴聆券衾臥蒼靈徐蓁豢疥衲篋誣峡鵐瘟零蹤磯齒竭騰藤龕鶺檢縱嶺嶷桧畭閤決饂挫堺檣実刔会瘁藹頷蹼醉孅企獪縦答黔吟箚途提茶挾禽貪蛋卷蚋該蔬齔奏謄夾翕苓舘旋圏寔幹胥崙樸春快擬荅捨泰纖哈慍鹸崘樅剱鴿傘薔翠薀缺歙険剳蝎媼餘莟掵擒叙膾巫憖澣柄籐余碎題夬驗嶺斂羚碇苡偈鑰唸核澪膃掟駭礙秦塔蛤峇麩剣惓猝渇斜敍覡庚創栓蠍岑是价搶噬搭掲墻塗膵命侠癡僉陰險除玲歇薈陜劒座楚榛麪棯諚匙礎捻萃囃丙銓論劾粹圈埣零碣滕聆舒讖納籘幾籤來怜診諛咎訣个令凝以淀賚嚏匳麥惷璞籥鱠槍鴒敘鈴殲譏舎舗榲粭劔俎棒繪蘊鋏牆慫捲炳儉矜遏眷捧萸腴昃咳巻侖劵鴃舂舖舍拿姶令骸歛領陋錠鯰訥麭臉蓙荼莢念婿浹臈曷蠢劍拳拾穡齬羮雜倫芥蜍濮閃卒蛉臾界合介仄决鞨懺痊抉齲齦蹐羯艙絵聳勝疑脊病今囚泅内吶狭輳疋機輪珍綣俸盒倦齪蹌齧龠稔垓齷齣僕瘡坐鎗椦刻玲聢疏檎鈴壻淪徠靄囓鞳靹瀲挟从鞆臻畍筮嶮鰆伶瘠齢齶滄湊醍齠倉綸喝恰琴肭疎棆袷狹瞼囹冷全淬洽袂檜含峽筴會嗇似給椿艢奉験齡冷
