kanji,kanjilist
从,頰齟倅從頬悴靈篋誣峡鵐蹤齒縱挫檣瘁醉孅挾齔夾纖樅傘薔翠巫憖碎麩猝覡噬墻膵侠陜座麪萃囃粹埣讖籤來賚麥殲鋏牆慫麭蓙莢浹穡齬雜卒懺齲齦聳狭齪齧齷齣坐徠囓挟筮齶齠狹淬峽筴嗇艢齡
付,椨拊坿鮒符腑腐府柎苻附咐俯
代,垈貸黛岱袋玳
令,領羚聆零嶺苓嶺羚澪玲零聆怜鴒鈴領蛉玲鈴伶齢囹冷齡冷
以,苡似
任,恁荏姙凭賃袵
伏,茯袱
伐,閥筏
休,鮴烋恷貅
会,桧絵
位,莅
何,荷
余,徐畭途餘叙斜敍塗除敘荼蜍
作,筰
佰,縮宿鏥蓿
來,憖麩麪賚麥麭徠
侖,崙崘論倫輪淪綸棆
侯,喉篌猴
便,鞭
保,褓褒葆堡
修,蓚
倉,愴蒼創搶槍艙蹌瘡鎗滄
備,憊
僉,倹検簽檢鹸剱険驗斂剣險劒匳劔儉歛臉劍瀲嶮瞼験
僕,濮
儿,竸罕奐竟寃悗蟯勘魔梭筅尠魏脱虎洗撓睦菟冦換逸贊魁絖廐滉稽悛続魃魎読輓橘堪冤饒跳晄魍尢輝魂尭獻鐃恍簪頽蹴藐旡完禿蒄亮蒐沈逃冠烱兢祝洸晩號晁愧巍橈无羌竣既煥廛就濳魑魅晃深饕先挽光堯曁疣魄漑尤説暁寇椹藝斟圀戡幌耽塊駟莞餽匹胤融陵埶驍瑰鬻慨纏麑纔浣囈鬼鯢鷸院薇発窕猊勉莵霓境犹繞糂枕佻姚翫廃鬲呪遶甚鑽唆翹譖忱遞探駿胱剋鷲隗譎焼潛鬩銑涜浚蛻概鴆俊讚隔澆眺泗耀鏡蕘皴讒燒碪皖陸銃銚裔眈鯱蠶膈皃傀渙頑酸喚琥売淕児兄克兌貎四充尨玩褫芫阮倪㓁喨桃吮兇兒兆娩彪誂峻嵬肬椶僥湛醜酖俛商嶢況冕免况挑貌元党兎睨跣冏鋭厖勢統槐熱競磽税僭褻魘巉曉閲微兜逵逡允兀兔厩尅悦鍖攜溌躔醗
兀,蟯撓絖滉饒晄輝尭鐃恍洸橈晃光堯暁幌驍薇繞遶翹胱焼澆耀蕘燒僥嶢磽曉微
允,梭悛竣唆駿浚俊皴銃酸充吮峻統逡
元,冦完蒄冠寇莞浣院翫皖頑玩芫阮
兄,脱兢祝説呪剋蛻克兌況况党鋭競税閲尅悦
充,銃統
兆,跳逃晁窕佻姚眺銚桃誂挑
兇,椶
先,筅洗贊濳鑽銑讚跣
光,絖滉晄輝恍洸晃幌胱耀
克,兢剋尅
兌,脱説蛻鋭税閲悦
免,寃悗菟逸輓冤晩挽纔勉讒娩俛冕巉兔
兎,莵
兒,麑鯢猊霓鬩貎倪睨
兔,寃菟冤纔讒巉
全,筌詮栓銓痊
兩,懣倆魎蹣輛裲滿瞞
兪,輸愈愉鍮楡覦渝揄蝓踰諭偸癒瑜喻逾喩瘉
公,総翁鶲蓊枩訟松鬆舩頌菘蚣淞聡瓮
六,宍暝冥醸壌嬢榠幎螟譲穣瞑溟
兮,盻諡
共,異饌糞撰暴閧瀑爆曝戴蛬臀殿巽港翼選鬨拱驥癜供澱哄巷恭冀洪
关,関咲
兵,鋲梹浜
其,稘廝撕厮箕旗基碁麒籏斯淇簸朞嘶騏期祺棋欺棊
具,鎮槙鷏慎真巓颶惧顛填塡倶
典,腆椣
兼,簾賺嫌歉慊濂廉鎌蒹謙
冀,驥
内,衲蚋柄丙納炳陋訥病吶靹鞆肭
円,蜻瀞倩猜鯖菁靜睛
冉,講髯稱購苒篝遘媾覯搆構冓溝再
冊,篇扁褊騙崙崘鑰論翩嗣籥編侖偏遍諞蝙倫刪輪龠淪跚珊綸柵棆
再,講購篝遘媾覯搆構冓溝
冏,橘烱鷸譎裔商攜
冒,帽瑁
冓,講購篝遘媾覯搆構溝
冠,蒄
冢,塚
冥,暝榠幎螟瞑溟
冬,鮗終柊螽苳鼕疼
凌,蔆
几,投芟筑瀛役酘肌疫處嵐瘋醫抗頽磐鳬贏馨亢没廢磬飢机撃恐鳧飄凱凰諷般颱航搬拠飆夙骰颶廏鑿飃癈臀凩慇繋緞發風穀殿珮毅殳槃蛩凪凧処設毆颪杭咒凭佩殺翳殷段殼颯癜澱凡轂楓燬殻殴毀盤椴跫鞏愨帆撥葮吭梵聲股鍛築汎坑謦羸頏瘢鳳冗伉
凡,筑瀛贏恐蛩跫鞏帆梵築汎羸
処,處拠
凶,黐离脳悩漓魑禽恟胸擒籬璃匈洶離兇椶檎
出,柮倔祟黜窟屈拙掘咄崛朏糶堀
函,涵
刃,綛靭忍籾荵認
刄,扨靱剱釼劔剏仭衂
分,吩瓰汾竕彜貧雰岔寡枌氛忿紛盆粉芬扮頒釁
切,窃砌
刈,苅
刑,荊型
列,洌烈例冽裂
別,捌
利,鯏犁莉痢梨俐蜊悧
到,倒椡
制,製掣
則,厠側廁惻測
剌,溂喇
前,揃剪翦擶煎箭
劉,瀏嚠
加,珈袈笳枷駕架跏迦伽嘉茄賀痂
助,莇耡鋤勗
劵,藤勝椦
勃,渤
勇,湧踴
動,勲慟働
務,霧
勞,癆撈
勤,懃
勹,褐勿詢鈞鞠徇葛愡垉謁湯藜蜴勾揚恂旬竭芍妁煦鮑蒟靤筍勺觴藹砲煬鞫淘跼場鈎檠恟刎抱芻瘍髑苞鄒偽匐蘯鉤菊萢包胸殤苟蕩偬惣惚蝎局鯣甸炮灼韵駒掏腸匆膓杓胞劬陶驚偈陽怱匍匂渇警裼黎蠍匁荀捌掲匀匏庖寫殉歇佝塲賜物鉋濁犂錫的碣敬燭皰枸易句忽為慯麹枹怐蝪咆掬遏萄趨笏屬潟釣拘傷譌約剔麭匈昜泡矚臈曷楊皺飽僞蔔椈絢暘吻洶葯瀉鞨葡蒭綯雛躅酌羯盪別獨疱狗洵蜀觸齣暢靄冩髱均喝蚫爲鞄葱囑豹袍雹
勺,芍妁灼杓的釣約葯酌豹
勾,鈎
勿,湯蜴揚觴煬場刎瘍蘯殤蕩偬惣惚鯣腸匆膓陽怱裼塲賜物錫易忽慯蝪笏傷剔昜楊暘吻盪暢葱
匀,鈞韵均
匂,褐葛謁藹渇掲臈曷靄喝
包,垉鮑靤砲抱苞萢炮胞匏庖鉋皰枹咆麭泡飽疱髱蚫鞄袍雹
匆,愡偬怱葱
匈,恟胸洶
匍,葡
匐,蔔
化,椛花靴訛糀埖硴錵囮貨
北,背乘嚥燕驥剩讌埀臙冀乖
匝,箍
匡,筐框筺
匪,榧
匱,櫃
匹,勘尠堪椹斟戡糂甚碪湛鍖
区,駆躯鴎枢殴欧
医,醫翳
匿,慝
區,嘔嫗嶇奩樞甌驅歐毆傴謳
千,鍾勳刋勲瓩挿插睡郵種燻剰陲慟竏粁錘腫仟捶働踵唾薫歃埀垂阡衝董熏重乖乗動醺
卅,帯丗滞棄
卆,伜翆粋忰枠砕酔
升,飜飛昇陞枡
午,啣忤滸杵許卸御禦
卉,尭暁奔噴墳蠎焼濆憤賁
半,絆袢拌胖叛判伴畔
卑,俾睥脾髀痺裨碑婢顰牌稗
卒,倅悴瘁醉翠碎猝膵萃粹埣淬
卓,罩悼綽掉棹倬啅
南,楠献遖喃
単,褝禅弾戦蝉箪騨
卞,抃
占,鮎點砧覘苫笘黏岾店霑点粘站拈沾貼帖
卦,褂掛罫
卯,瀏留鰡聊卵餾嚠籀劉瑠昴榴鉚霤溜孵茆瘤柳貿
危,詭跪脆鮠
即,卿節櫛喞
却,脚
卵,孵
卷,蜷惓圈綣倦
卸,啣御禦
厄,詭阨危軛跪脆鮠扼
厘,甅糎竰
原,愿願源
厥,蹶蕨獗
厭,壓靨黶魘
厳,巌
厶,肆総育魔梭魏即公黐魁旒欸髯髭翁髢始倒蔭払悛鰺鶲宏勾肱魃輊魎卿私靉曇魍魂縉柧伝鵄髣罎髮髪竢醯雲節桧壜蒐蓋却愧巍絋会竣髦套砿髟髫蔘胎魑魅蓊鈎魄桙藝溘羆垤蔬窓鬣塊弧眸餽鉱昿蛭鬢窒颱驂姪拡劫怯瑰怠鉾台弘囈鬼耘怡鴾呱態牽辮鬘枩苔滲広訟峅擡浤強咥辯唆紘紿陰紜笞鯵闔流駿駘鬚惨隗松耋泓浚嚔能緻俊殆雄繧鬟櫛慘擺弁膣繦襁皴㐬硫転盍薹銃法弃矣牟轍鬆舩傀髻髴頌毓酸至菰充云菘刧椡芸髷罷絵桎畆吮徹挨撤蚣峻嵬到簒俟埃飴醜琺瓠疏畚參晉淞治臻脚参厶致棄瓜統槐髱熊抬觚孤瓣聡瓮詒魘去冶逡允靆仏貽臺狐梳瓢琉喞
去,蓋却溘劫怯闔盍法刧琺脚
参,鯵惨
參,鰺蔘驂滲慘
叉,騷靫釵扠蚤
及,汲吸笈岌級扱
友,抜髪暖湲媛緩援煖爰
反,汳鈑飯版皈板叛仮坂販返阪
叔,寂椒俶督菽淑
取,娶娵聚驟陬趣掫樶叢輙諏最撮
受,授綬
叟,嫂捜痩搜艘溲
古,嫡箇個固兢罟倨蛄苦姑滴裾餬糊故踞鴣怙居涸痼胡剋蝴鏑据楜錮適枯敵瑚辜做湖克摘沽鋸估醐凅詁謫鈷葫尅
句,煦蒟跼檠鉤苟局駒劬驚警佝敬枸怐拘狗齣
只,枳咫
召,照髫韶招昭劭超邵紹貂詔沼齠迢
可,欹奇綺竒倚嵜寄謌羇柯彁椅碕婀掎痾呵猗埼軻苛舸訶剞歌渮荷崎何騎河畸珂阿哥
台,始胎颱怠怡苔紿笞駘殆飴治抬詒冶貽
史,駛
右,祐醢若惹諾慝匿佑
号,號饕
司,笥嗣覗祠伺飼詞
各,略閣輅畧洛貉酪烙咯蕗骼額落駱擱咎格露珞鷺客賂喀絡狢恪挌茖路
合,龕閤答箚翕荅哈鴿歙剳塔蛤峇搭粭拿姶拾盒鞳恰袷洽給
吉,橲熹廚詰結稠頡惆黠鱚鯛捨樹拮嬉襭佶膨擡鼓澎周纈舎舗劼鼕薹憙皷髻雕桔週彫鐵鐡綢簓蜩凋嘉瞽喜彭僖禧臺調
吊,嫦蟐常
同,筒洞興銅粡胴恫桐
名,銘酩茗
后,逅垢詬
吏,使
向,嚮餉
君,桾裙窘羣郡群
吝,悋
否,痞
含,頷莟
吾,衙悟梧唔牾寤圄珸齬晤語
呂,閭梠麿侶營櫚筥営宮絽
呆,褓褒葆堡棠襃保
呈,酲逞鐵程郢
呉,蜈娯誤茣虞麌
告,靠酷誥窖皓浩慥晧梏鵠造
呑,喬驕蕎矯嬌轎橋僑
周,稠惆鯛雕週彫綢簓蜩凋調
命,掵
和,啝
咢,鶚蕚萼鄂顎諤愕鍔齶鰐
咨,諮
咸,鍼箴撼減鹹憾緘轗鰔感喊
咼,禍萵窩蝸渦過堝鍋
哀,滾袞
品,嵒嘔嫗嶇髞奩操澡蕚樞甌懆噪驅癌歐毆譟繰傴燥藻謳區臨躁
員,韻圓隕殞損
哥,謌彁歌
唐,糖塘溏
善,繕膳
喜,橲熹鱚嬉憙僖禧
喬,驕蕎矯嬌轎橋僑
單,殫憚戰闡鄲襌嬋彈禪
嗇,檣薔墻牆穡艢
嚴,巖儼
囚,褞鰮瘟饂慍薀媼膃榲蘊泅
四,圀駟泗
回,羶徊禀擅茴迴檣薔蛔壇懍圖墻鄙顫牆氈凜凛穡稟亶廩檀嗇廻艢
因,恩茵氤咽姻烟
困,悃梱
固,箇個涸痼錮凅
国,掴椢
國,摑幗膕
園,薗
圣,径経軽怪茎
在,恠
圭,卦恚畦褂奎佳涯掛幇硅窪崖蛙哇崕珪啀鮭封娃挂閨袿桂街鞋睚罫
坐,挫座蓙
垂,睡郵陲錘捶唾
埶,熱
執,贄蟄鷙摯
堂,瞠螳
堅,樫鏗慳鰹
堯,蟯撓饒鐃橈驍繞遶翹澆蕘燒僥嶢磽曉
墨,纒
壬,艇妊挺恁酲衽任霆荏姙霪凭庭婬梃賃蟶袵廷淫郢
壮,荘装
壯,莊弉裝奘
声,馨磬聲謦
売,続読涜
壹,饐殪噎懿
壽,檮籌儔擣鑄疇躊濤
复,複復腹覆
夏,厦榎廈嗄
夐,瓊
外,迯
多,夥侈移
夜,掖腋液鵺
夢,儚
天,関蚕聟鎹欸喉篌关肄醫竢嶷蜘送奏擬踟渕雉嗾矩礙揆痴笶侯癡族癸猴矧昊知凝嫉咲矯翳薙医矢短矮矣葵疾候簇疑挨輳俟埃朕鏃湊俣椥智蔟
太,汰駄葢
夫,攤帙槻鶏畉嘆失灘麩渓軼窺鑚賛秩鉄麸纉替跌潜讃譛佚規儺趺歎芙攅扶艱輦漢難迭僣
夬,決刔快缺訣鴃决抉袂
夭,添飫喬妖驕蕎忝笑呑矯嬌轎殀橋僑沃
央,暎泱鴦秧映英怏瑛殃霙鞅
失,帙軼秩鉄跌佚迭
夲,皋
夷,洟銕姨痍
夸,跨胯匏刳桍瓠袴誇
夾,頰頬篋挾侠陜鋏莢浹狹峽筴
奄,罨閹俺掩庵菴淹
奇,欹綺倚寄羇椅碕掎猗埼剞崎騎畸
奈,捺
奉,棒捧俸
奏,輳湊
奐,換煥渙喚
契,喫禊楔
奚,鷄溪鶏渓谿蹊
奠,擲鄭躑
奥,襖
奧,墺懊燠澳礇
奴,拏努呶駑弩怒帑孥
如,恕絮茹洳
妄,侫
妥,綏餒
妻,褄悽棲萋凄淒
妾,椄霎接
委,魏巍痿萎矮倭逶
威,縅鰄
娚,嫐嬲
婁,褸縷藪數楼螻樓髏籔窶鏤僂簍瘻
嬰,櫻纓嚶瓔鸚
孔,吼
存,荐拵栫
孚,乳桴俘蜉艀浮殍孵郛
孛,悖渤勃
孝,酵教哮
孟,猛
季,悸
孤,菰
孫,遜
孰,塾熟
孱,潺
宀,寃綻定聹它宗縮檸狩案暄演綜宍寂椀家宴字宛宏貯按縡宕宜宵騫稼富寅宅完獰疉詫濘晏箜鮟蛇鋺濱宋実蜿宰寄宿謇竚鶴密喧宝淙瀋宇寇綰害椌竇竊窓舘苧寔寛侘塞莞搾鬢紵寡窒穹窰竄窿窟窄粽寮牢浣嫁菅擦駝腟棺樒割鴪寢碗院確竅窩碇突窕寝實寒腔憲賽掟萱搴腕柁寓寧寞穃額殯窶窖舵寥咤擯浤鉈寤寐嬪寫察窃窗竃窺寵審諚婉棕榁榕寨佇陀窪穿踪穽寶鏥諠崇邊淀嚀轄窘竈窯空窈寳館賓邃膣繽究窮穴滓皖寰鴕佗錠控蓿萓蹇客豁瀉誼宮宣倥溶喀糘寉安蜜鞍蓉沱愃檳守熔宸室聢官詑管瞎宙宥容鎔啌豌櫁宦
它,蛇駝柁舵鉈陀鴕佗沱詑
宅,詫侘咤
守,狩
安,案按晏鮟鞍
完,莞浣院皖
宏,浤
宗,綜淙粽棕踪崇
官,綰舘菅棺館管
定,綻碇掟諚淀錠聢
宛,椀鋺蜿碗腕婉豌
宜,萓誼
客,額喀
宣,暄喧萱諠愃
室,腟榁
宰,縡滓
害,割轄豁瞎
家,稼嫁糘
容,穃榕溶蓉熔鎔
宿,縮鏥蓿
寅,演
密,樒
寉,鶴確
察,擦
寧,聹檸獰濘嚀
審,瀋
寫,瀉
寺,畤恃待蒔時塒侍痔特持詩峙等
寿,鋳畴陦涛祷梼
封,幇
尃,縛博
射,謝麝
将,醤蒋奨
將,蔣鏘奬獎漿
專,磚轉甎蓴傳囀慱團摶槫
尉,慰蔚熨
尊,蹲遵鱒墫樽噂
尋,蕁潯
少,尠瀕沙鈔濱抄鯊頻鬢捗眇秒殯省擯莎劣嬪渉裟杪紗雀渺顰歩賓炒繽陟蘋緲隲毟妙檳砂娑
尓,迩袮弥寳称珎祢
尚,嘗當嫦廠瞠蟐敞甞裳償掌襠螳幤棠賞礑儻淌厰常鐺蟷党堂黨
尢,稽蹴就疣尤犹鷲尨肬厖
尤,稽蹴就疣犹鷲尨肬厖
尨,厖
尭,暁焼
就,蹴鷲
尹,君伊桾裙笋窘羣郡群
尺,駅択釈尽沢侭咫昼呎訳鈬
尼,昵眤泥怩
尽,侭
尾,梶
局,跼
居,倨裾踞据鋸
屈,倔窟掘崛堀
屋,握幄渥齷
屎,屡
屏,塀
展,碾輾
属,嘱
屬,矚囑
屮,溯厥蚩瓲艸逆愬鈍芻蹶鄒塑蕨遡闕純屯趨槊噸邨嗤皺獗蒭雛沌頓朔飩
屯,瓲鈍純噸邨沌頓飩
岡,綱鋼棡崗剛
島,搗槝
崔,催摧攜
崩,繃
嵒,癌
州,酬駲洲
巣,剿樔勦
左,髓橢膸楕佐隨隋墮惰
巨,矩炬秬拒苣鉅渠距
巫,靈誣鵐檣薔覡噬墻牆穡筮嗇艢
差,蹉瑳磋搓槎嗟嵳嵯縒
巳,饌祀垉熈熙鮑靤囘苞炮匏鉋僊皰枹咆麭煕疱髱蚫袍雹
巴,葩把悒癰耙邑笆巵杷滬色絶廱扈梔肥爬琶芭艷艶
巵,梔
巷,港
巻,圏捲
巽,饌撰選
市,閙肺旆鬧霈柿沛姉
布,晞唏鯑怖希稀欷
希,晞唏鯑稀欷
帚,箒帰掃歸婦菷
帛,棉綿緜錦
帝,啼蒂啻締楴諦蹄
師,鰤篩獅
席,蓆
帯,滞
帶,滯蔕
常,嫦蟐
幕,冪羃
干,奸罕肝刊鮃逹擇睾報悍贄啣刑午垪倖稈扞妍瓶鐸桿坪鼾執幹忤泙岼幸驛譯枅杆屏捍荊澣楠苹併駢餠塀蟄怦訐栞澤繹懌秤圉萍骭軒平献笄餅鷙滸并幵剏杵胼許岸駻遖年研喃絣竿旱釋卸迸評御汗形開型南禦摯
平,鮃坪泙岼苹怦秤萍評
幵,刑妍枅荊餠栞笄研形開型
并,垪瓶屏併駢餠塀餅剏胼絣迸
幸,逹擇睾報贄倖鐸執驛譯蟄澤繹懌圉鷙釋摯
幹,澣
幼,黝拗窈
幾,饑磯譏機
广,廬魔椨廟廐廝縻嘛靡廓簾蹠廚廣糠廖絋廢糜軈砿廛廠摩蓆糖廡席麒麝鉱昿麓麾庇床廊鷓拡鷹腑纏麑麌麟麋腐麿庄廏唐序麻膺曠麕麁麼府庁底庵廁傭康廃広店庚麗応遮礦庖廂鱇庶渡座鹿轆應慶慷度粧庫庸鑛慵塘濂薦廉灑塵麈庠廈驪庭擴蓙儷鏖廰賍漉廱溏磨蔗廳壙俯廩鍍廨躔
広,絋砿鉱昿拡
庄,粧賍
府,椨腑腐俯
度,渡鍍
座,蓙
庶,蹠鷓遮蔗
康,糠鱇慷
庸,傭慵
廉,簾濂
廛,纏躔
廣,曠礦鑛擴壙
延,莚涎誕蜑筵蜒
廷,艇挺霆庭梃
建,鍵健腱
廾,誡漕篇借體扁褊彝尭糟飜帯蟒卉囲飛騙聨算彜暁槽艚奔鼾崙腆噴莽纂膿崘惜嬶曹墳展碾鑰丗弉鼻峅儂遭蠎籍弊曲論藉翩穽焼嗣農濃昇弄籥編戒陞耕枡濆弁侖偏滞鱧錯憤丼弃嚊遍措昔諞蝙舁倫廿冊禮典哢升刪鵲醋髷椣卅賁畊輾輪簒軆龠淪豊跚械棄珊醴綸柵棆葬井艶
廿,謀攤鰈柑勘尠懣箝鞠靺韈靭某稘廝嵌堪鞣靴鞭靼蚶蹠酣槿帯篏撕靱鞦其靫厮箕蹣羇蓆鞫鞘席椹帶旗煤斟基戡碁瑾麒甞鷓紺懃紲籏甜丗嚥世憇糂緤拑滿楪楳邯遮霸媒甚庶渡燕度覲蝶甘諜笹覇覊滯鉗牒碪渫滞斯淇儺讌簸朞鞜鞁嘶鞨葉鞴鞏疳蔕満騏艱蔗羈坩期勒祺鞍泄瞞革韃臙湛貰鞳韆靹鞆棋棄喋欺鞐鞄鞋鞅饉棊鍍鍖
弁,峅弃
弄,哢
弋,垈蔵伐鵝誡畿貮韈摑贇贓饑臓臧濺誠鵞蹙義絨淺箋臟晟磯鍼箴撼貸娥閥孅筏黛践試羲武減戉拭戡襪鹹織纎哉曦纖幟戠殘戴戯藏戈踐軾斌歳犠戮戳截幗儀憾繊戲戦識議戰惑岱銭犧咸膩膕籖國戛戔残越莪餞餓杙俄殱戎戚讖幾籤弌弑弐鉞或戍殲譏戒域戝緘式賦棧錢戞戊穢我戌錻轗栽蛾礒賤弍浅代牋戟成鳶賎懺嶬筬鐵鐡蟻鰔槭盞峩馘威懴袋峨機艤城鵡裁械縅職玳蔑熾綫鰄哦感賊貳茂閾載桟喊盛找滅
弍,膩貳
式,試拭軾弑
弔,梯悌鵜第涕弟剃睇俤
引,蚓矧
弗,拂沸怫佛髴彿費狒
弘,泓
弟,梯悌鵜涕剃睇俤
弯,湾
弱,鰯蒻搦嫋鶸溺嵶
張,漲
強,繦襁
彌,瀰
彎,灣
当,档
彖,篆喙掾櫞蠡縁椽
彗,慧
彡,衫醪髯髭髢鰺疹髣髮髪摎廖髦髟髫蔘彩須鬣諺鬢驂蓚戮穆繆鬱鬘顔顏滲寥膨餮樛殄鯵蓼鬚惨軫偐診澎鏐鬟慘趁杉膠鬆髻髴彬影彰彫尨髷簓彦彪珍參囓彭形参厖髱修勠袗畛謬
彦,諺顔顏偐
彫,簓
彭,膨澎
彳,鵆絎徳從徊従徇徒徽役衙律径徐徑葎待後蹤縱衢哘復徼征往徴徨縦衡徂徃得樅薇屐覆慫銜履行循彿桁聳衝衒徹徙徘術裄衞垳街彷徠很御愆衍衛微禦彼徭懲黴
律,葎
従,縦
從,蹤縱樅慫聳
御,禦
復,覆履
微,薇
徴,懲
必,祕密謐樒瑟秘蜜泌櫁
忍,綛荵認
志,痣誌
忝,添
念,唸棯捻鯰稔
忽,惚
思,濾偲鑢顋慮腮鰓
怱,愡偬葱
恣,懿
息,憩熄
恵,穂
悉,蟋
惟,罹
惠,穗
惡,鐚
愈,癒
意,臆億憶噫檍
愛,瞹靉曖
感,撼憾轗
慮,濾鑢
憂,優擾
應,軈
